state,visited
Alabama,0
Alaska,0
Arkansas,1
Arizona,0
California,1
Colorado,0
Connecticut,0
Delaware,0
Florida,0
Georgia,1
Hawaii,0
Iowa,0
Idaho,0
Illinois,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,1
Maine,0
Maryland,0
Massachusetts,0
Michigan,0
Minnesota,0
Missouri,0
Mississippi,0
Montana,0
North Carolina,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,2
New Mexico,0
Nevada,0
New York,3
Ohio,1
Oklahoma,2
Oregon,0
Pennsylvania,1
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,3
Utah,0
Virginia,1
Vermont,0
Washington,0
Wisconsin,0
West Virginia,0
Wyoming,0
